type,id,title,milestone,epic,parent,estimate,blocked_by,labels,twin,body
milestone,W0,W0 — Shell boots,W0 — Shell boots,,,,,wave:w0,,## Summary\nW0 — Shell boots\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
milestone,W1,W1 — Data & event spine,W1 — Data & event spine,,,,,wave:w1,,## Summary\nW1 — Data & event spine\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
milestone,W2,W2 — Trust & identity,W2 — Trust & identity,,,,,wave:w2,,## Summary\nW2 — Trust & identity\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
milestone,W3,W3 — Local intelligence,W3 — Local intelligence,,,,,wave:w3,,## Summary\nW3 — Local intelligence\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
milestone,W4,W4 — Craft objects,W4 — Craft objects,,,,,wave:w4,,## Summary\nW4 — Craft objects\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
milestone,W5,W5 — Sovereignty path,W5 — Sovereignty path,,,,,wave:w5,,## Summary\nW5 — Sovereignty path\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
milestone,W6,W6 — Agent & nudges,W6 — Agent & nudges,,,,,wave:w6,,## Summary\nW6 — Agent & nudges\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
milestone,W7,W7 — First-run polish,W7 — First-run polish,,,,,wave:w7,,## Summary\nW7 — First-run polish\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
milestone,W8,W8 — Experimental (parked),W8 — Experimental (parked),,,,,wave:w8,,## Summary\nW8 — Experimental (parked)\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
milestone,W9,W9 — Future (parked),W9 — Future (parked),,,,,wave:w9,,## Summary\nW9 — Future (parked)\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
epic,PE01,PE01 — Desktop Shell & Foundation,W0 — Shell boots,PE01,,,,"status:core-h1,wave:w0,area:shell,priority:p0,type:epic",,## Summary\nDesktop Shell & Foundation\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
epic,PE02,PE02 — Storage & Event Spine,W1 — Data & event spine,PE02,,,,"status:core-h1,wave:w1,area:storage,priority:p0,type:epic",,## Summary\nStorage & Event Spine\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
epic,PE03,PE03 — Identity & Resume Library,W2 — Trust & identity,PE03,,,,"status:core-h1,wave:w2,area:identity,priority:p0,type:epic",,## Summary\nIdentity & Resume Library\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
epic,PE04,PE04 — Preferences & Privacy Chrome,W2 — Trust & identity,PE04,,,,"status:core-h1,wave:w2,area:prefs,priority:p0,type:epic",,## Summary\nPreferences & Privacy Chrome\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
epic,PE05,PE05 — Local Intelligence,W3 — Local intelligence,PE05,,,,"status:core-h1,wave:w3,area:ai,priority:p0,type:epic",,## Summary\nLocal Intelligence\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
epic,PE06,PE06 — Agent (preparative),W6 — Agent & nudges,PE06,,,,"status:core-h1,wave:w6,area:agent,priority:p0,type:epic",,## Summary\nAgent (preparative)\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
epic,PE07,PE07 — Discovery & Job Providers,W4 — Craft objects,PE07,,,,"status:core-h1,wave:w4,area:discovery,priority:p1,type:epic",,## Summary\nDiscovery & Job Providers\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
